County,Employment_Rate,Income,Inflation,Air_Quality,Water_Quality,Land_Fertility,Waste_Management,Education,Healthcare,Transportation,Crime,Politics,Disaster_Risks,Civic_Engagement
Greater_London,0.75,1,0.6,0.35,0.7,0.4,0.65,0.85,0.78,0.85,0.75,0.41,0.65,0.55
Greater_Manch,0.55,0.45,0.4,0.45,0.6,0.45,0.48,0.75,0.7,0.78,0.7,0.41,0.55,0.42
West_Midlands,0.52,0.42,0.35,0.42,0.55,0.42,0.46,0.72,0.68,0.75,0.78,0.41,0.6,0.35
West_Yorkshire,0.58,0.48,0.42,0.52,0.62,0.48,0.5,0.68,0.65,0.72,0.68,0.41,0.52,0.45
South_Yorkshire,0.54,0.44,0.38,0.5,0.58,0.45,0.48,0.65,0.62,0.68,0.65,0.41,0.5,0.48
North_Yorkshire,0.85,0.65,0.6,0.92,0.85,0.95,0.82,0.6,0.62,0.55,0.25,0.41,0.1,0.82
Surrey,0.95,0.9,0.92,0.78,0.8,0.72,0.75,0.82,0.85,0.88,0.15,0.41,0.08,0.95
Kent,0.82,0.72,0.65,0.65,0.72,0.68,0.68,0.75,0.72,0.82,0.38,0.41,0.28,0.75
Essex,0.8,0.7,0.62,0.62,0.7,0.65,0.65,0.72,0.7,0.8,0.42,0.41,0.3,0.72
Hampshire,0.88,0.82,0.78,0.72,0.78,0.7,0.72,0.78,0.8,0.82,0.25,0.41,0.18,0.85
Lancashire,0.62,0.51,0.45,0.58,0.65,0.55,0.58,0.62,0.65,0.6,0.48,0.41,0.45,0.58
Merseyside,0.53,0.43,0.38,0.49,0.58,0.48,0.45,0.7,0.72,0.75,0.65,0.41,0.58,0.4
Devon,0.75,0.55,0.5,0.95,0.88,0.98,0.88,0.55,0.58,0.52,0.18,0.41,0.05,0.85
Cornwall,0.68,0.45,0.42,0.98,0.92,0.95,0.94,0.5,0.52,0.45,0.12,0.41,0.02,0.88
Cumbria,0.72,0.6,0.55,0.96,0.94,0.98,0.9,0.45,0.48,0.38,0.08,0.41,0.02,0.95
Tyne_&_Wear,0.45,0.38,0.35,0.54,0.62,0.48,0.55,0.68,0.65,0.72,0.62,0.41,0.55,0.35
Hertfordshire,0.92,0.88,0.85,0.72,0.75,0.68,0.68,0.8,0.82,0.85,0.22,0.41,0.15,0.88
Berkshire,0.95,0.92,0.82,0.68,0.72,0.65,0.62,0.85,0.88,0.85,0.25,0.41,0.18,0.85
Cambridgeshire,0.9,0.84,0.78,0.72,0.75,0.68,0.65,0.8,0.78,0.76,0.22,0.41,0.15,0.82
Oxfordshire,0.92,0.86,0.8,0.75,0.78,0.7,0.68,0.82,0.8,0.81,0.18,0.41,0.12,0.85
Norfolk,0.65,0.52,0.48,0.85,0.82,0.9,0.78,0.52,0.55,0.5,0.28,0.41,0.15,0.72
Suffolk,0.7,0.58,0.52,0.82,0.78,0.88,0.75,0.56,0.58,0.55,0.3,0.41,0.18,0.7
Dorset,0.75,0.62,0.58,0.92,0.88,0.95,0.85,0.51,0.53,0.5,0.15,0.41,0.05,0.88
Somerset,0.72,0.6,0.55,0.88,0.85,0.92,0.82,0.53,0.55,0.52,0.2,0.41,0.08,0.82
Gloucestershire,0.82,0.75,0.68,0.85,0.82,0.88,0.75,0.64,0.68,0.62,0.22,0.41,0.12,0.85
Staffordshire,0.65,0.55,0.5,0.65,0.68,0.62,0.62,0.6,0.62,0.58,0.38,0.41,0.32,0.65
Derbyshire,0.68,0.58,0.52,0.75,0.72,0.78,0.72,0.59,0.62,0.58,0.32,0.41,0.25,0.68
Nottinghamshire,0.62,0.52,0.45,0.65,0.68,0.6,0.58,0.63,0.65,0.61,0.5,0.41,0.48,0.55
Leicestershire,0.72,0.62,0.55,0.68,0.72,0.65,0.65,0.66,0.68,0.64,0.38,0.41,0.35,0.62
Northants,0.75,0.65,0.58,0.62,0.65,0.6,0.58,0.62,0.65,0.6,0.42,0.41,0.4,0.58
Cheshire,0.85,0.78,0.72,0.75,0.78,0.7,0.72,0.7,0.72,0.68,0.24,0.41,0.18,0.85
Durham,0.48,0.4,0.35,0.72,0.75,0.68,0.65,0.54,0.58,0.52,0.52,0.41,0.5,0.45
Northumberland,0.65,0.55,0.48,0.95,0.92,0.98,0.88,0.45,0.48,0.42,0.15,0.41,0.05,0.92
Shropshire,0.72,0.62,0.55,0.92,0.88,0.95,0.82,0.49,0.52,0.48,0.18,0.41,0.08,0.88
Wiltshire,0.82,0.74,0.68,0.88,0.85,0.92,0.78,0.58,0.62,0.55,0.19,0.41,0.1,0.85
Warwickshire,0.88,0.8,0.75,0.75,0.78,0.7,0.68,0.73,0.75,0.72,0.25,0.41,0.18,0.8
Worcestershire,0.78,0.68,0.62,0.78,0.82,0.75,0.72,0.61,0.65,0.58,0.28,0.41,0.22,0.75
East_Sussex,0.72,0.61,0.55,0.85,0.88,0.82,0.8,0.6,0.62,0.58,0.25,0.41,0.18,0.8
West_Sussex,0.85,0.79,0.72,0.82,0.85,0.78,0.78,0.68,0.7,0.65,0.22,0.41,0.15,0.82
Buckinghamshire,0.95,0.91,0.88,0.8,0.82,0.75,0.78,0.82,0.85,0.8,0.16,0.41,0.12,0.9
Bedfordshire,0.78,0.72,0.68,0.7,0.75,0.65,0.62,0.75,0.72,0.78,0.35,0.41,0.3,0.75
Bristol,0.85,0.82,0.78,0.65,0.68,0.55,0.6,0.82,0.8,0.85,0.45,0.41,0.35,0.78
Herefordshire,0.7,0.6,0.55,0.88,0.85,0.92,0.82,0.55,0.58,0.52,0.2,0.41,0.08,0.82
Isle_of_Wight,0.62,0.52,0.48,0.95,0.92,0.85,0.88,0.45,0.48,0.42,0.18,0.41,0.05,0.8
Lincolnshire,0.65,0.55,0.5,0.82,0.78,0.95,0.75,0.52,0.55,0.48,0.28,0.41,0.15,0.7
Rutland,0.85,0.8,0.78,0.92,0.88,0.95,0.82,0.65,0.68,0.6,0.12,0.41,0.05,0.92
City_of_London,0.98,1,0.95,0.25,0.6,0.1,0.4,0.95,0.92,0.98,0.85,0.41,0.8,0.98
E_Riding_Yorks,0.72,0.62,0.58,0.85,0.82,0.9,0.8,0.58,0.6,0.52,0.22,0.41,0.12,0.75
Clwyd,0.68,0.55,0.5,0.88,0.85,0.82,0.78,0.58,0.6,0.55,0.28,0.41,0.15,0.7
Dyfed,0.65,0.52,0.48,0.92,0.88,0.95,0.85,0.52,0.55,0.48,0.18,0.41,0.05,0.85
Gwent,0.62,0.5,0.45,0.75,0.72,0.68,0.7,0.65,0.68,0.7,0.35,0.41,0.28,0.62
Gwynedd,0.72,0.58,0.52,0.95,0.92,0.98,0.9,0.5,0.52,0.45,0.12,0.41,0.02,0.92
Mid_Glamorgan,0.55,0.45,0.4,0.68,0.65,0.6,0.62,0.68,0.65,0.72,0.5,0.41,0.38,0.55
Powys,0.75,0.6,0.55,0.96,0.94,0.98,0.92,0.45,0.48,0.4,0.08,0.41,0.02,0.95
South_Glamorgan,0.78,0.72,0.68,0.7,0.75,0.65,0.68,0.78,0.8,0.82,0.45,0.41,0.3,0.78
West_Glamorgan,0.6,0.52,0.48,0.72,0.75,0.68,0.65,0.7,0.72,0.75,0.42,0.41,0.32,0.65
Antrim,0.72,0.65,0.6,0.82,0.75,0.78,0.72,0.75,0.72,0.78,0.35,0.41,0.2,0.75
Armagh,0.7,0.62,0.58,0.85,0.8,0.82,0.75,0.72,0.7,0.75,0.32,0.41,0.18,0.72
Down,0.75,0.68,0.62,0.85,0.78,0.82,0.75,0.72,0.7,0.75,0.28,0.41,0.15,0.78
Fermanagh,0.68,0.58,0.55,0.95,0.92,0.85,0.88,0.5,0.52,0.45,0.15,0.41,0.08,0.82
