outcode,county
AB10,Aberdeenshire
AB11,Aberdeenshire
AB12,Kincardineshire
AB13,Aberdeenshire
AB14,Aberdeenshire
AB15,Aberdeenshire
AB16,Aberdeenshire
AB21,Aberdeenshire
AB22,Aberdeenshire
AB23,Aberdeenshire
AB24,Aberdeenshire
AB25,Aberdeenshire
AB30,Kincardineshire
AB31,Kincardineshire
AB32,Aberdeenshire
AB33,Aberdeenshire
AB34,Aberdeenshire
AB35,Aberdeenshire
AB36,Aberdeenshire
AB37,Banffshire
AB38,Morayshire
AB39,Kincardineshire
AB41,Aberdeenshire
AB42,Aberdeenshire
AB43,Aberdeenshire
AB44,Banffshire
AB45,Banffshire
AB51,Aberdeenshire
AB52,Aberdeenshire
AB53,Aberdeenshire
AB54,Aberdeenshire
AB55,Banffshire
AB56,Banffshire
AB99,Kincardineshire
AL1,Hertfordshire
AL10,Hertfordshire
AL2,Hertfordshire
AL3,Hertfordshire
AL4,Hertfordshire
AL5,Hertfordshire
AL6,Hertfordshire
AL7,Hertfordshire
AL8,Hertfordshire
AL9,Hertfordshire
B1,Warwickshire
B10,Warwickshire
B11,Warwickshire
B12,Warwickshire
B13,Worcestershire
B14,Worcestershire
B15,Warwickshire
B16,Warwickshire
B17,Staffordshire
B18,Warwickshire
B19,Staffordshire
B2,Warwickshire
B20,Staffordshire
B21,Staffordshire
B23,Warwickshire
B24,Warwickshire
B25,Worcestershire
B26,Worcestershire
B27,Worcestershire
B28,Worcestershire
B29,Worcestershire
B3,Warwickshire
B30,Worcestershire
B31,Worcestershire
B32,Worcestershire
B33,Worcestershire
B34,Warwickshire
B35,Warwickshire
B36,Warwickshire
B37,Warwickshire
B38,Worcestershire
B4,Warwickshire
B40,Warwickshire
B42,Staffordshire
B43,Staffordshire
B44,Staffordshire
B45,Worcestershire
B46,Warwickshire
B47,Worcestershire
B48,Worcestershire
B49,Warwickshire
B5,Warwickshire
B50,Warwickshire
B6,Warwickshire
B60,Worcestershire
B61,Worcestershire
B62,Worcestershire
B63,Worcestershire
B64,Staffordshire
B65,Staffordshire
B66,Staffordshire
B67,Staffordshire
B68,Worcestershire
B69,Staffordshire
B7,Warwickshire
B70,Staffordshire
B71,Staffordshire
B72,Warwickshire
B73,Warwickshire
B74,Staffordshire
B75,Warwickshire
B76,Warwickshire
B77,Warwickshire
B78,Warwickshire
B79,Staffordshire
B8,Warwickshire
B80,Warwickshire
B9,Warwickshire
B90,Warwickshire
B91,Warwickshire
B92,Warwickshire
B93,Warwickshire
B94,Warwickshire
B95,Warwickshire
B96,Worcestershire
B97,Worcestershire
B98,Warwickshire
B99,Warwickshire
BA1,Somerset
BA10,Somerset
BA11,Somerset
BA12,Wiltshire
BA13,Wiltshire
BA14,Wiltshire
BA15,Wiltshire
BA16,Somerset
BA2,Somerset
BA20,Somerset
BA21,Somerset
BA22,Somerset
BA3,Somerset
BA4,Somerset
